Province ID,Province,Municipality ID,Municipality
1,Eastern Cape,180,Nkonkobe
1,Eastern Cape,69,Ikwezi
1,Eastern Cape,185,Nxuba
1,Eastern Cape,8,Baviaans
1,Eastern Cape,234,Tsolwana
1,Eastern Cape,105,Lukanji
1,Eastern Cape,14,Blue Crane Route
1,Eastern Cape,207,Sakhisizwe
1,Eastern Cape,59,Greater Kokstad
1,Eastern Cape,89,Kou-Kamma
1,Eastern Cape,57,Great Kei
1,Eastern Cape,47,Engcobo
1,Eastern Cape,197,Port St Johns
1,Eastern Cape,186,Nyandeni
1,Eastern Cape,173,Ngqushwa
1,Eastern Cape,90,Kouga
1,Eastern Cape,112,Maletswai
1,Eastern Cape,18,Camdeboo
1,Eastern Cape,36,Elundini
1,Eastern Cape,250,Umzimvubu
1,Eastern Cape,140,Mnquma
1,Eastern Cape,75,Intsika Yethu
1,Eastern Cape,168,Ndlambe
1,Eastern Cape,76,Inxuba Yethemba
1,Eastern Cape,209,Senqu
1,Eastern Cape,6,Amahlathi
1,Eastern Cape,174,Ngquza Hill
1,Eastern Cape,183,Ntabankulu
1,Eastern Cape,122,Matatiele
1,Eastern Cape,216,Sundays River Valley
1,Eastern Cape,144,Mohokare
1,Eastern Cape,134,Mhlontlo
1,Eastern Cape,125,Mbhashe
1,Eastern Cape,74,Inkwanca
1,Eastern Cape,109,Makana
1,Eastern Cape,126,Mbizana
1,Eastern Cape,170,Nelson Mandela Bay
1,Eastern Cape,54,Gariep
1,Eastern Cape,16,Buffalo City
1,Eastern Cape,40,Emalahleni
1,Eastern Cape,86,King Sabata Dalindyebo
9,Western Cape,9,Beaufort West
9,Western Cape,93,Laingsburg
9,Western Cape,155,Mossel Bay
9,Western Cape,87,Knysna
9,Western Cape,21,City of Cape Town
9,Western Cape,80,Kannaland
9,Western Cape,33,Drakenstein
9,Western Cape,20,Cederberg
9,Western Cape,19,Cape Agulhas
9,Western Cape,15,Breede Valley
9,Western Cape,66,Hessequa
9,Western Cape,190,Overstrand
9,Western Cape,12,Bitou
9,Western Cape,208,Saldanha Bay
9,Western Cape,218,Swellendam
9,Western Cape,257,Witzenberg
9,Western Cape,94,Langeberg
9,Western Cape,223,Theewaterskloof
9,Western Cape,217,Swartland
9,Western Cape,11,Bergrivier
9,Western Cape,124,Matzikama
9,Western Cape,198,Prince Albert
9,Western Cape,55,George
9,Western Cape,189,Oudtshoorn
9,Western Cape,214,Stellenbosch
7,North West,191,Phokwane
7,North West,202,Ratlou
7,North West,237,Tswelopele
7,North West,231,Tokologo
7,North West,96,Lekwa-Teemane
7,North West,25,City of Tshwane
7,North West,119,Maquassi Hills
7,North West,152,Moses Kotane
7,North West,106,Mafikeng
7,North West,166,Naledi
7,North West,62,Greater Taung
7,North West,130,Merafong City
7,North West,200,Ramotshere Moiloa
7,North West,229,Tlokwe City Council
7,North West,149,Moqhaka
7,North West,235,Tswaing
7,North West,206,Rustenburg
7,North West,84,Kgetlengrivier
7,North West,104,Local Municipality of Madibeng
7,North West,153,Moshaweng
7,North West,252,Ventersdorp
7,North West,114,Mamusa
7,North West,151,Moretele
7,North West,31,Ditsobotla
7,North West,163,NW397
7,North West,23,City of Matlosana
1,Eastern Cape,180,Nkonkobe
1,Eastern Cape,69,Ikwezi
1,Eastern Cape,185,Nxuba
1,Eastern Cape,8,Baviaans
